date,price,volume
2020-07-09,17.234910134,255329356.69815958
2020-07-08,16.782493664,289837386.50659585
2020-07-07,16.303452759,253381694.27166447
2020-07-06,15.581993058,179941697.82984293
2020-07-05,15.556616053,175838008.35190845
2020-07-04,15.375490628,168813304.7753426
2020-07-03,15.432018863,196066765.06278616
2020-07-02,15.870677939,213612381.2814045
2020-07-01,15.494306922,195787522.8009098
2020-06-30,15.539272869,205013353.3920086
2020-06-29,15.389286595,209553879.65580475
2020-06-28,15.218927148,209378357.23587438
2020-06-27,15.828067676,168820314.35255563
2020-06-26,15.962209962,180097430.57694858
2020-06-25,16.064875424,210353002.02670994
2020-06-24,16.403113487,216655373.16294843
2020-06-23,16.520901802,221486899.16332722
2020-06-22,15.971260612,195031371.35326087
2020-06-21,16.053415687,195432193.70239663
2020-06-20,16.004795438,194480713.12570187
2020-06-19,16.204504546,206606348.3766311
2020-06-18,16.420615864,225990629.6027865
2020-06-17,16.426184605,233280044.8101406
2020-06-16,16.395716635,235125000.05602145
2020-06-15,16.60618921,254062373.9036443
2020-06-14,16.812833417,262818829.1143624
2020-06-13,16.650901447,260006048.09202036
2020-06-12,16.291698422,296858194.4557623
2020-06-11,17.385102833,271957086.19260275
2020-06-10,17.361493426,238930296.68806443
2020-06-09,17.413346062,235759095.3526358
2020-06-08,17.389906084,256753745.7149496
2020-06-07,17.54559716,296770871.23959976
2020-06-06,17.696410206,325575886.670281
2020-06-05,17.529079599,321210655.1436556
2020-06-04,17.550711124,342784639.01707107
2020-06-03,17.292521694,360992181.1312911
2020-06-02,17.912065893,472457065.45779943
2020-06-01,17.077084415,406799591.168785
2020-05-31,17.738068561,444965963.1981293
2020-05-30,17.007356261,398426001.97043324
2020-05-29,17.067681222,388778040.0411836
2020-05-28,16.443467334,333794061.83706504
2020-05-27,16.232153449,276892608.0826527
2020-05-26,16.357711438,299499735.8408959
2020-05-25,16.038542255,289575813.13066703
2020-05-24,16.492957632,249225138.6218693
2020-05-23,16.611422834,291717846.31788015
